"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
54045__5815__54045.jpg,21.8-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/portfolio/21.8-5815/54045__5815__54045.jpg,1,Green,,green,"R0.L0.M0.P0.H0 N2.Y3.T3.A2.J3
country=nan",s0 m0.00 r0.00 v0.00
45206__4360__60254.jpg,19.8-4360,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/portfolio/19.8-4360/45206__4360__60254.jpg,1,Green,,green,"R0.L0.M0.P0.H0 N3.Y3.T2.A3.J3
country=AU",s0 m0.00 r0.00 v0.00
Josh Krasner__1373__64135.jpg,3 - Abstract and Details,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/3 - Abstract and Details/Josh Krasner__1373__64135.jpg,0,Green,* ,green,"R2.L4.M3.P4.H3 N4.Y5.T5.A4.J5
country=US",001
Lindsay Southgate__5859__55045.jpg,2 - Intimate Landscape,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/2 - Intimate Landscape/Lindsay Southgate__5859__55045.jpg,0,Green,,green,"R2.L1.M2.P2.H1 N2.Y4.T4.A4.J4
country=GB",002
Margrit Schwarz__3690__65632.jpg,3 - Abstract and Details,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/3 - Abstract and Details/Margrit Schwarz__3690__65632.jpg,0,Green,* * ,green,"R5.L4.M4.P4.H3 N3.Y5.T4.A5.J5
country=CH

Award:  Abstract and Details, Photograph of the Year, Winner
Title: Eye of the Canyon
Caption
I made this photograph on the final morning of a twelve-day raft trip on the Colorado River. The Grand Canyon’s immensity was overwhelming, yet what captivated me most were the ancient layers of stone, shaped by time and water into abstract forms alive with mystery. For me, ""Eye of the Canyon"" remains an open invitation to explore, and to return - again and again.",007
Luis Vilariño__2509__53322.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/1 - Grand Scenic/Luis Vilariño__2509__53322.jpg,0,Green,* * * * ,green,"R5.L2.M5.P5.H2 N5.Y5.T5.A5.J5
country=nan

Award:  Grand Scenic, Winner
Title: Ice & Wind
Caption
The wind accumulated the snow at the foot of the gigantic blocks of ice based on the shore. It stopped snowing, but the wind kept blowing hard, lifting and depositing volcanic sand on the snow, shading the relief and textures as a charcoal artist would have done.",052
Samuel Markham__2198__55553.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/1 - Grand Scenic/Samuel Markham__2198__55553.jpg,0,Green,* * * ,green,"R5.L3.M4.P5.H4 N5.Y5.T5.A5.J5
country=AU

Award:  Grand Scenic, Runner Up
Title: Gateway To God
Caption
Taken deep within the wilderness of Tasmania's Southwest National Park (Australia). The sun broke through thick clouds for a brief moment illuminating the vast rugged landscape.",054
Gunar Streu__2028__53855.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/1 - Grand Scenic/Gunar Streu__2028__53855.jpg,0,Green,* * * ,green,"R4.L3.M5.P5.H2 N2.Y5.T5.A5.J5
country=SE

Award:  Grand Scenic, Third Place
Title: Snowy weather
Caption
Blizzard along the coastline on Söröya Island in the most northern part of Norway. It became difficult to take photos because of the cold and stormy weather so I took only a few exposures. I tried to capture the harsh conditions you can find in Arctic regions.",055
Joshua Cripps__1052__58913.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/1 - Grand Scenic/Joshua Cripps__1052__58913.jpg,0,Green,* * * ,green,"R5.L5.M4.P1.H4 N3.Y4.T4.A4.J4
country=US

Award:  Grand Scenic, Highly Commended
Title: Hidden Gem
Caption
I took this photo while flying over New Zealand's Fiordland National Park, one of the most spectacular landscapes on Earth. I shot it in hazy, late afternoon light, the layers of the fjords stretching off toward the horizon. As our plane flew over the top of this ridge, I saw this gorgeous lake nestled in the top of the mountains and couldn't press the shutter button fast enough.",056
Benjamin Maze__649__57008.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-BOOK/Primary/1 - Grand Scenic/Benjamin Maze__649__57008.jpg,0,Green,* ,green,"R4.L4.M3.P4.H3 N5.Y5.T4.A5.J5
country=AU

Award:  Grand Scenic, Highly Commended",057
